"Target","Relative","Before","After","Status"
"ActivTrades","MQL5\Profiles\Templates\Gamma Black MT4.tpl","0DAB05FCB5B0CD9545D48F3B45EC20149F47A1C96C7B7D59C0DE8E18829E8577","0DAB05FCB5B0CD9545D48F3B45EC20149F47A1C96C7B7D59C0DE8E18829E8577","OK"
"ActivTrades","MQL5\Profiles\Templates\Gamma Black MT4_EA Risco.tpl","0B650B1E979FB2BE2404DA75BF824C7812E8A853EE30788434AC96750CAB1278","0B650B1E979FB2BE2404DA75BF824C7812E8A853EE30788434AC96750CAB1278","OK"
"ActivTrades","MQL5\Experts\GammaLevels_Server_EA_Exness.ex5","","C9B76CDD8922942B54351CCD3A4C33BD7ABE04B3D253CE2BB3930D89316D83CD","OK"
"ActivTrades","MQL5\Experts\AIOX_Trader_On_Chart.mq5","D7CCDEDD557EFC13775595A180FD1EB5C8CA5D51378A0579BBFFDF3BE48F6D7C","D7CCDEDD557EFC13775595A180FD1EB5C8CA5D51378A0579BBFFDF3BE48F6D7C","OK"
"ActivTrades","MQL5\Experts\AIOX_Trader_On_Chart.ex5","151CE3EA923E73B0E28215EF438FE9147C70356A121B40C49728F1969FB8F46E","151CE3EA923E73B0E28215EF438FE9147C70356A121B40C49728F1969FB8F46E","OK"
"ActivTrades","MQL5\Indicators\Market\Top Clock MT5.ex5","D18930F403B0C42EB1F131838E2B9F5D096BAC975995C023BC2779EA58FC0A11","D18930F403B0C42EB1F131838E2B9F5D096BAC975995C023BC2779EA58FC0A11","OK"
"ActivTrades","MQL5\Indicators\SOMMA\SOMMA_Multimarket_Desk.ex5","00651FA6AC3B7F23E6BCCD099BBA63421C23FFBDBA2853D5A81C27731FA837D0","00651FA6AC3B7F23E6BCCD099BBA63421C23FFBDBA2853D5A81C27731FA837D0","OK"
"ActivTrades","MQL5\Indicators\SOMMA\SOMMA_Multimarket_Desk.mq5","947A588E8A89D7E2FF18D0A00F71A742000033B26FB4F1707F35B5D0FD2562E2","947A588E8A89D7E2FF18D0A00F71A742000033B26FB4F1707F35B5D0FD2562E2","OK"
"ActivTrades","MQL5\Indicators\Protheus\MT4_Ports\4-CONJUNTO-DE-VELAS-MT5-CORRIGIDO.ex5","9BC8064A3BFBBCD8753757D45237E7F68D0C1D7FD45542E4CD26FDB885524484","9BC8064A3BFBBCD8753757D45237E7F68D0C1D7FD45542E4CD26FDB885524484","OK"
"ActivTrades","MQL5\Indicators\Protheus\MT4_Ports\4-CONJUNTO-DE-VELAS-MT5-CORRIGIDO.mq5","1A254426111CD1E01071868726717036076BD10F25B8942FA6F6F337731BDEDE","1A254426111CD1E01071868726717036076BD10F25B8942FA6F6F337731BDEDE","OK"
